complaint_date,borough,total_complaints,high_severity_complaints,medium_severity_complaints,other_severity_complaints,weekend_complaints,total_complaints_ma7
2024-07-25,(Null),4,0,0,0,0,3.71
2023-11-27,(Null),4,0,0,0,0,4.71
2024-06-08,(Null),4,0,0,0,4,3.57
2024-05-08,(Null),4,0,0,0,0,2.14
2024-06-14,(Null),4,0,0,0,0,2.43
2024-10-12,(Null),4,0,0,0,4,3.29
2023-10-14,(Null),4,0,0,0,4,3.86
2024-11-11,(Null),4,0,0,0,0,3.14
2024-10-22,(Null),4,0,0,0,0,4.71
2024-12-07,(Null),4,0,0,0,4,6.0
2023-06-23,(Null),4,0,0,0,0,3.29
2023-02-28,(Null),4,0,0,0,0,2.71
2023-07-24,(Null),4,0,0,0,0,3.14
2023-09-23,(Null),4,0,0,0,4,2.86
2024-11-12,(Null),4,0,0,0,0,3.43
2022-12-20,(Null),4,0,0,0,0,2.57
2023-11-29,(Null),4,0,0,0,0,5.0
2023-08-31,(Null),4,0,0,0,0,3.14
2023-05-10,(Null),4,0,0,0,0,1.57
2023-07-13,(Null),4,0,0,0,0,3.0
2024-06-01,(Null),4,0,0,0,4,2.29
2023-12-08,(Null),4,0,0,0,0,7.0
2023-09-02,(Null),4,0,0,0,4,3.14
2023-10-27,(Null),4,0,0,0,0,3.43
2024-12-23,(Null),5,0,0,0,0,4.71
2023-04-20,(Null),5,0,0,0,0,3.29
2022-11-30,(Null),5,0,0,0,0,5.29
2023-10-20,(Null),5,0,0,0,0,3.29
2022-11-27,(Null),5,0,0,0,5,4.71
2023-07-19,(Null),5,0,0,0,0,3.86
2022-11-21,(Null),5,0,0,0,0,4.5
2023-06-24,(Null),5,0,0,0,5,3.71
2023-07-20,(Null),5,0,0,0,0,4.0
2023-02-22,(Null),5,0,0,0,0,2.86
2023-07-15,(Null),5,0,0,0,5,3.57
2023-10-23,(Null),5,0,0,0,0,2.86
2023-11-22,(Null),5,0,0,0,0,2.71
2024-05-31,(Null),5,0,0,0,0,2.14
2023-08-29,(Null),5,0,0,0,0,3.14
2023-03-09,(Null),5,0,0,0,0,2.86
2023-07-02,(Null),5,0,0,0,5,4.29
2023-06-27,(Null),5,0,0,0,0,4.57
2023-05-27,(Null),5,0,0,0,5,2.57
2023-08-21,(Null),5,0,0,0,0,3.57
2024-09-08,(Null),5,0,0,0,5,4.57
2023-01-30,(Null),5,0,0,0,0,2.86
2024-10-28,(Null),5,0,0,0,0,3.86
2024-11-21,(Null),5,0,0,0,0,3.57
2024-12-15,(Null),5,0,0,0,5,5.86
2024-06-29,(Null),5,0,0,0,5,4.0
2022-12-01,(Null),5,0,0,0,0,5.0
2024-10-23,(Null),5,0,0,0,0,5.0
2024-12-14,(Null),5,0,0,0,5,5.43
2023-07-14,(Null),5,0,0,0,0,3.14
2022-12-07,(Null),5,0,0,0,0,3.14
2024-08-24,(Null),5,0,0,0,5,2.86
2022-12-08,(Null),5,0,0,0,0,3.14
2024-10-05,(Null),5,0,0,0,5,2.71
2023-03-21,(Null),5,0,0,0,0,3.29
2023-11-26,(Null),5,0,0,0,5,4.29
2023-01-06,(Null),5,0,0,0,0,2.57
2023-10-11,(Null),5,0,0,0,0,3.29
2022-12-18,(Null),5,0,0,0,5,2.57
2023-05-03,(Null),5,0,0,0,0,2.57
2023-09-15,(Null),5,0,0,0,0,3.29
2022-11-29,(Null),5,0,0,0,0,4.86
2024-12-20,(Null),5,0,0,0,0,5.57
2023-01-17,(Null),5,0,0,0,0,3.43
2023-11-30,(Null),5,0,0,0,0,5.57
2023-08-17,(Null),5,0,0,0,0,3.57
2024-09-09,(Null),5,0,0,0,0,4.86
2024-10-17,(Null),5,0,0,0,0,3.57
2024-06-21,(Null),5,0,0,0,0,3.57
2024-11-06,(Null),5,0,0,0,0,2.86
2023-11-04,(Null),5,0,0,0,5,3.43
2024-09-18,(Null),5,0,0,0,0,3.71
2024-06-06,(Null),5,0,0,0,0,3.71
2024-06-26,(Null),5,0,0,0,0,3.71
2024-11-03,(Null),5,0,0,0,5,3.57
